Champion
Lucian
Yasuo
Aphelios
Ashe
Caitlyn
Draven
Ezreal
Jhin
Jinx
Kai'Sa
Kalista
Kog'Maw
Miss Fortune
Nilah
Samira
Sivir
Tristana
Twitch
Varus
Vayne
Xayah
Zeri
